model	evaluation	test_dataset	target_id	target_index	n	spearman	pearson
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-STAT6	41	745	0.12045258473857465	0.11009436395597844
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-Src	42	745	0.18385202899448538	0.1994354031060037
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-TOR	43	745	0.12373443525258922	0.1254810214515989
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-c-Jun	44	745	0.1414312036568984	0.142953305024198
SCP682-SC12-protein-residual	internal_cv_reconstruction	all	p-p65	45	745	0.15929594273281153	0.16802171271371813
SCP682-SC12-protein-residual	internal_cv_reconstruction	iccite_seq_tcell_2025	RPS6_pSitePending	0	11440	0.43803033224077825	0.46293222412407253
SCP682-SC12-protein-residual	internal_cv_reconstruction	iccite_seq_tcell_2025	STAT3_Y705	1	11440	0.2711860041317077	0.2605037749279196
SCP682-SC12-protein-residual	internal_cv_reconstruction	iccite_seq_tcell_2025	MAPK14_pSitePending	2	11440	0.29307245148461225	0.13631631678239461
SCP682-SC12-protein-residual	internal_cv_reconstruction	iccite_seq_tcell_2025	CREB1_S133_ATF1_S63	5	11440	0.3242497041203259	0.09720930825609518
SCP682-SC12-protein-residual	internal_cv_reconstruction	iccite_seq_tcell_2025	HM0025_phospho_p44_42_197G2	7	11440	0.27157138184054097	0.27346148402662734
SCP682-SC12-protein-residual	internal_cv_reconstruction	iccite_seq_tcell_2025	JUN_pSitePending	8	11440	0.2375892486834624	0.2321477433647009
SCP682-SC12-protein-residual	internal_cv_reconstruction	iccite_seq_tcell_2025	LAT_Y226	9	11440	0.3409287480313059	0.07225059516006813
SCP682-SC12-protein-residual	internal_cv_reconstruction	iccite_seq_tcell_2025	LCP2_S376	10	11440	0.4623571208703211	0.47083241193007513
SCP682-SC12-protein-residual	internal_cv_reconstruction	iccite_seq_tcell_2025	MAP2K1_S298	11	11440	0.3291240421770877	0.16946745738996594
SCP682-SC12-protein-residual	internal_cv_reconstruction	iccite_seq_tcell_2025	MAPK14_pSitePending_D3F9	12	11440	0.3381702612964476	0.32214250546781487
SCP682-SC12-protein-residual	internal_cv_reconstruction	iccite_seq_tcell_2025	RELA_pSitePending_93H1	18	11440	0.21740911146456385	0.20797369885340702
SCP682-SC12-protein-residual	internal_cv_reconstruction	iccite_seq_tcell_2025	STAT5A_STAT5B_Y694_Y699	21	11440	0.415536748918399	0.14706973935594203
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	RPS6_pSitePending	0	745	0.29776044188958745	0.25315888854366486
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	MAPK14_pSitePending	2	745	0.15301992851575355	0.13434890823830958
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	AKT_pSitePending	3	745	0.21798786248971588	0.22767360945193227
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	BTK_pSitePending	4	745	0.12291148729004703	0.10946178742741469
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	MAPK1_MAPK3_pSitePending	14	745	0.047754217509154304	0.07605290022190567
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	PLCG2_Y759	15	745	0.20517581345480362	0.18141215432393015
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	PLCG2_pSitePending	16	745	0.1228457199351601	0.12012519973868471
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	SYK_pSitePending	22	745	0.13599923314512077	0.15116041124944787
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	p-AMPK-a1/2	23	745	0.17201752270998502	0.17892407950341743
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	p-AMPK-b1	24	745	0.07154514817958679	0.09264009409042082
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	p-BLNK	25	745	0.03920840948664148	0.057873313306404384
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	p-CD79a	26	745	0.022224567167043435	0.045687682721636036
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	p-CDK1	27	745	0.24755497610498342	0.27298874184760463
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	p-CDK4	28	745	0.055708303729899336	0.04285844498672995
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	p-HistonH2A.X	30	745	0.07162541324978777	0.03615618166558467
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	p-HistonH3	31	745	0.05630206636304864	0.07563776294761249
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	p-IKKa/b	32	745	0.06055258216146814	0.05698733235676237
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	p-IRAK4	33	745	0.06951960575572654	0.07811965952577327
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	p-JAK1	34	745	0.12201049389741278	0.12509303372045458
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	p-JNK	35	745	0.1432997649631593	0.14153003923624424
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	p-PKC-b1	36	745	0.06834810075274128	0.0453261319084646
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	p-Rb	37	745	0.270481758135084	0.29108410323007694
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	p-STAT5	40	745	0.06977352951271613	0.06394912642553194
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	p-STAT6	41	745	0.12045258473857465	0.11009436395597844
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	p-Src	42	745	0.18385202899448538	0.1994354031060037
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	p-TOR	43	745	0.12373443525258922	0.1254810214515989
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	p-c-Jun	44	745	0.1414312036568984	0.142953305024198
SCP682-SC12-protein-residual	internal_cv_reconstruction	qurie_seq_bjab_2021	p-p65	45	745	0.15929594273281153	0.16802171271371813
SCP682-SC12-protein-residual	train_reconstruction	all	RPS6_pSitePending	0	20000	0.5207007502324995	0.5686614773144334
SCP682-SC12-protein-residual	train_reconstruction	all	STAT3_Y705	1	18806	0.28510022271183805	0.2647125548306691
SCP682-SC12-protein-residual	train_reconstruction	all	MAPK14_pSitePending	2	20000	0.38725112006607515	0.24150083507771472
SCP682-SC12-protein-residual	train_reconstruction	all	AKT_pSitePending	3	1194	0.2837947250357116	0.3230282150530317
SCP682-SC12-protein-residual	train_reconstruction	all	BTK_pSitePending	4	1194	0.20873553784233265	0.25310839676917457
SCP682-SC12-protein-residual	train_reconstruction	all	CREB1_S133_ATF1_S63	5	18806	0.32741641330661425	0.13744555321145505
SCP682-SC12-protein-residual	train_reconstruction	all	HM0025_phospho_p44_42_197G2	7	18806	0.26461910285184925	0.2630225134597155
SCP682-SC12-protein-residual	train_reconstruction	all	JUN_pSitePending	8	18806	0.2601377002447538	0.24558336036143077
SCP682-SC12-protein-residual	train_reconstruction	all	LAT_Y226	9	18806	0.34793323244588337	0.12845150887916287
SCP682-SC12-protein-residual	train_reconstruction	all	LCP2_S376	10	18806	0.46725943949315146	0.4749800320477919
SCP682-SC12-protein-residual	train_reconstruction	all	MAP2K1_S298	11	18806	0.33476799252103606	0.23272111849382687
SCP682-SC12-protein-residual	train_reconstruction	all	MAPK14_pSitePending_D3F9	12	18806	0.3489461329354136	0.3230393832412913
SCP682-SC12-protein-residual	train_reconstruction	all	MAPK1_MAPK3_pSitePending	14	1194	0.10974246417107444	0.19078039738866628
SCP682-SC12-protein-residual	train_reconstruction	all	PLCG2_Y759	15	1194	0.2426485064299088	0.27333971157511294
SCP682-SC12-protein-residual	train_reconstruction	all	PLCG2_pSitePending	16	1194	0.25990615666193023	0.3580054255958355
SCP682-SC12-protein-residual	train_reconstruction	all	RELA_pSitePending_93H1	18	18806	0.2151506069238909	0.19733607079055002
SCP682-SC12-protein-residual	train_reconstruction	all	STAT5A_STAT5B_Y694_Y699	21	18806	0.42382782330347507	0.2355267844737475
SCP682-SC12-protein-residual	train_reconstruction	all	SYK_pSitePending	22	1194	0.17334174409337427	0.20119542024635428
SCP682-SC12-protein-residual	train_reconstruction	all	p-AMPK-a1/2	23	1194	0.32792723019804526	0.38039533681369103
SCP682-SC12-protein-residual	train_reconstruction	all	p-AMPK-b1	24	1194	0.20253503084958072	0.26873267950385205
SCP682-SC12-protein-residual	train_reconstruction	all	p-BLNK	25	1194	0.0757301091122648	0.08229797006933508
SCP682-SC12-protein-residual	train_reconstruction	all	p-CD79a	26	1194	0.048144030647154494	0.08639313901222959
SCP682-SC12-protein-residual	train_reconstruction	all	p-CDK1	27	1194	0.32291239479280615	0.3544281020702128
SCP682-SC12-protein-residual	train_reconstruction	all	p-CDK4	28	1194	0.11552055246644005	0.13280998034212066
SCP682-SC12-protein-residual	train_reconstruction	all	p-HistonH2A.X	30	1194	0.2438294460277837	0.18500533565195665
SCP682-SC12-protein-residual	train_reconstruction	all	p-HistonH3	31	1194	0.11228962446992403	0.16947974195983562
SCP682-SC12-protein-residual	train_reconstruction	all	p-IKKa/b	32	1194	0.1442334347433397	0.2144980983897351
SCP682-SC12-protein-residual	train_reconstruction	all	p-IRAK4	33	1194	0.1947820400865902	0.22459857358279955
SCP682-SC12-protein-residual	train_reconstruction	all	p-JAK1	34	1194	0.15782111307875502	0.20004307439144162
SCP682-SC12-protein-residual	train_reconstruction	all	p-JNK	35	1194	0.16623260616247681	0.24029151509926827
SCP682-SC12-protein-residual	train_reconstruction	all	p-PKC-b1	36	1194	0.0946361234252448	0.13429033204679874
SCP682-SC12-protein-residual	train_reconstruction	all	p-Rb	37	1194	0.2607273622078646	0.2760763857885767
SCP682-SC12-protein-residual	train_reconstruction	all	p-STAT5	40	1194	0.1999075212175061	0.27375116371414143
SCP682-SC12-protein-residual	train_reconstruction	all	p-STAT6	41	1194	0.21668444471395631	0.26401804537332263
SCP682-SC12-protein-residual	train_reconstruction	all	p-Src	42	1194	0.23180716343335425	0.25349405026686994
SCP682-SC12-protein-residual	train_reconstruction	all	p-TOR	43	1194	0.19617143256523933	0.20774014239635968
SCP682-SC12-protein-residual	train_reconstruction	all	p-c-Jun	44	1194	0.08580475568338831	0.1490413803993423
SCP682-SC12-protein-residual	train_reconstruction	all	p-p65	45	1194	0.2678635942556404	0.36052897435549247
SCP682-SC12-protein-residual	train_reconstruction	iccite_seq_tcell_2025	RPS6_pSitePending	0	18806	0.450249476306989	0.4745443435178847
SCP682-SC12-protein-residual	train_reconstruction	iccite_seq_tcell_2025	STAT3_Y705	1	18806	0.28510022271183805	0.2647125548306691
SCP682-SC12-protein-residual	train_reconstruction	iccite_seq_tcell_2025	MAPK14_pSitePending	2	18806	0.305268942306616	0.17988988046612808
SCP682-SC12-protein-residual	train_reconstruction	iccite_seq_tcell_2025	CREB1_S133_ATF1_S63	5	18806	0.32741641330661425	0.13744555321145505
SCP682-SC12-protein-residual	train_reconstruction	iccite_seq_tcell_2025	HM0025_phospho_p44_42_197G2	7	18806	0.26461910285184925	0.2630225134597155
SCP682-SC12-protein-residual	train_reconstruction	iccite_seq_tcell_2025	JUN_pSitePending	8	18806	0.2601377002447538	0.24558336036143077
SCP682-SC12-protein-residual	train_reconstruction	iccite_seq_tcell_2025	LAT_Y226	9	18806	0.34793323244588337	0.12845150887916287
SCP682-SC12-protein-residual	train_reconstruction	iccite_seq_tcell_2025	LCP2_S376	10	18806	0.46725943949315146	0.4749800320477919
SCP682-SC12-protein-residual	train_reconstruction	iccite_seq_tcell_2025	MAP2K1_S298	11	18806	0.33476799252103606	0.23272111849382687
SCP682-SC12-protein-residual	train_reconstruction	iccite_seq_tcell_2025	MAPK14_pSitePending_D3F9	12	18806	0.3489461329354136	0.3230393832412913
SCP682-SC12-protein-residual	train_reconstruction	iccite_seq_tcell_2025	RELA_pSitePending_93H1	18	18806	0.2151506069238909	0.19733607079055002
SCP682-SC12-protein-residual	train_reconstruction	iccite_seq_tcell_2025	STAT5A_STAT5B_Y694_Y699	21	18806	0.42382782330347507	0.2355267844737475
SCP682-SC12-protein-residual	train_reconstruction	qurie_seq_bjab_2021	RPS6_pSitePending	0	1194	0.29577668403546054	0.20736834168524648
SCP682-SC12-protein-residual	train_reconstruction	qurie_seq_bjab_2021	MAPK14_pSitePending	2	1194	0.2594019994081725	0.2996627174178301
SCP682-SC12-protein-residual	train_reconstruction	qurie_seq_bjab_2021	AKT_pSitePending	3	1194	0.2837947250357116	0.3230282150530317
SCP682-SC12-protein-residual	train_reconstruction	qurie_seq_bjab_2021	BTK_pSitePending	4	1194	0.20873553784233265	0.25310839676917457
SCP682-SC12-protein-residual	train_reconstruction	qurie_seq_bjab_2021	MAPK1_MAPK3_pSitePending	14	1194	0.10974246417107444	0.19078039738866628
SCP682-SC12-protein-residual	train_reconstruction	qurie_seq_bjab_2021	PLCG2_Y759	15	1194	0.2426485064299088	0.27333971157511294
SCP682-SC12-protein-residual	train_reconstruction	qurie_seq_bjab_2021	PLCG2_pSitePending	16	1194	0.25990615666193023	0.3580054255958355
SCP682-SC12-protein-residual	train_reconstruction	qurie_seq_bjab_2021	SYK_pSitePending	22	1194	0.17334174409337427	0.20119542024635428
SCP682-SC12-protein-residual	train_reconstruction	qurie_seq_bjab_2021	p-AMPK-a1/2	23	1194	0.32792723019804526	0.38039533681369103
SCP682-SC12-protein-residual	train_reconstruction	qurie_seq_bjab_2021	p-AMPK-b1	24	1194	0.20253503084958072	0.26873267950385205
SCP682-SC12-protein-residual	train_reconstruction	qurie_seq_bjab_2021	p-BLNK	25	1194	0.0757301091122648	0.08229797006933508
SCP682-SC12-protein-residual	train_reconstruction	qurie_seq_bjab_2021	p-CD79a	26	1194	0.048144030647154494	0.08639313901222959
SCP682-SC12-protein-residual	train_reconstruction	qurie_seq_bjab_2021	p-CDK1	27	1194	0.32291239479280615	0.3544281020702128
SCP682-SC12-protein-residual	train_reconstruction	qurie_seq_bjab_2021	p-CDK4	28	1194	0.11552055246644005	0.13280998034212066
SCP682-SC12-protein-residual	train_reconstruction	qurie_seq_bjab_2021	p-HistonH2A.X	30	1194	0.2438294460277837	0.18500533565195665
SCP682-SC12-protein-residual	train_reconstruction	qurie_seq_bjab_2021	p-HistonH3	31	1194	0.11228962446992403	0.16947974195983562
SCP682-SC12-protein-residual	train_reconstruction	qurie_seq_bjab_2021	p-IKKa/b	32	1194	0.1442334347433397	0.2144980983897351
SCP682-SC12-protein-residual	train_reconstruction	qurie_seq_bjab_2021	p-IRAK4	33	1194	0.1947820400865902	0.22459857358279955
SCP682-SC12-protein-residual	train_reconstruction	qurie_seq_bjab_2021	p-JAK1	34	1194	0.15782111307875502	0.20004307439144162
SCP682-SC12-protein-residual	train_reconstruction	qurie_seq_bjab_2021	p-JNK	35	1194	0.16623260616247681	0.24029151509926827
SCP682-SC12-protein-residual	train_reconstruction	qurie_seq_bjab_2021	p-PKC-b1	36	1194	0.0946361234252448	0.13429033204679874
SCP682-SC12-protein-residual	train_reconstruction	qurie_seq_bjab_2021	p-Rb	37	1194	0.2607273622078646	0.2760763857885767
SCP682-SC12-protein-residual	train_reconstruction	qurie_seq_bjab_2021	p-STAT5	40	1194	0.1999075212175061	0.27375116371414143
SCP682-SC12-protein-residual	train_reconstruction	qurie_seq_bjab_2021	p-STAT6	41	1194	0.21668444471395631	0.26401804537332263
SCP682-SC12-protein-residual	train_reconstruction	qurie_seq_bjab_2021	p-Src	42	1194	0.23180716343335425	0.25349405026686994
SCP682-SC12-protein-residual	train_reconstruction	qurie_seq_bjab_2021	p-TOR	43	1194	0.19617143256523933	0.20774014239635968
SCP682-SC12-protein-residual	train_reconstruction	qurie_seq_bjab_2021	p-c-Jun	44	1194	0.08580475568338831	0.1490413803993423
SCP682-SC12-protein-residual	train_reconstruction	qurie_seq_bjab_2021	p-p65	45	1194	0.2678635942556404	0.36052897435549247
SCP682-SC12-protein-residual	external_reconstruction	all	RPS6_pSitePending	0	88743	0.22091350309235208	0.14621767301192734
SCP682-SC12-protein-residual	external_reconstruction	all	STAT3_Y705	1	56284	0.19259279882445482	0.06689310980614765
SCP682-SC12-protein-residual	external_reconstruction	all	MAPK14_pSitePending	2	87269	0.12032006942078449	0.149975184884481
SCP682-SC12-protein-residual	external_reconstruction	all	AKT_pSitePending	3	32038	0.1507284534874056	0.1542076611088959
SCP682-SC12-protein-residual	external_reconstruction	all	CREB1_S133_ATF1_S63	5	55231	0.3311818460325967	0.3675366942553753
SCP682-SC12-protein-residual	external_reconstruction	all	FOS_S32	6	1177	0.08126796292889238	0.08009384531505122
SCP682-SC12-protein-residual	external_reconstruction	all	JUN_pSitePending	8	55231	0.3890152574185752	0.4255050342498008
SCP682-SC12-protein-residual	external_reconstruction	all	LAT_Y226	9	55231	0.305451290414625	0.32227156555496633
SCP682-SC12-protein-residual	external_reconstruction	all	LCP2_S376	10	55231	0.4717873520936119	0.5053469150996228
SCP682-SC12-protein-residual	external_reconstruction	all	MAP2K1_S298	11	55231	0.18264606826018318	0.24351976962377234
SCP682-SC12-protein-residual	external_reconstruction	all	MAPK14_pSitePending_D3F9	12	55231	0.5478605134754656	0.5733149438016711
SCP682-SC12-protein-residual	external_reconstruction	all	MAPK1_MAPK3_T202_Y204	13	1177	0.1537839403745425	0.16725923705308163
SCP682-SC12-protein-residual	external_reconstruction	all	RELA_S536	17	1053	0.26700676839680515	0.19005644313525188
SCP682-SC12-protein-residual	external_reconstruction	all	RELA_pSitePending_93H1	18	55231	0.46043489346199895	0.49622187579165733
SCP682-SC12-protein-residual	external_reconstruction	all	p-Rb	37	87269	0.23638835430466631	0.10499439704550047
SCP682-SC12-protein-residual	external_reconstruction	all	p-p65	45	32038	0.1522586000855	0.16365249646139524
SCP682-SC12-protein-residual	external_reconstruction	all	HISTONE_H3_S28	46	87269	0.1493268866037444	0.04544854832596707
SCP682-SC12-protein-residual	external_reconstruction	all	NFE2L2_S40	47	55231	0.6585733446763098	0.6800223297557656
SCP682-SC12-protein-residual	external_reconstruction	all	AKT_S473	48	55231	0.05486937157777926	0.04194511640604771
SCP682-SC12-protein-residual	external_reconstruction	all	EIF4EBP1_T37_T46	49	87269	0.25632681001990015	0.16418378322447302
SCP682-SC12-protein-residual	external_reconstruction	all	STAT6_Y641	50	55231	0.40292168713318366	0.4065023340617696
SCP682-SC12-protein-residual	external_reconstruction	all	ZAP70_Y493	51	55231	0.2376433661390325	0.2312869665044148
SCP682-SC12-protein-residual	external_reconstruction	all	LCK_Y505	52	55231	0.09627979374845737	0.13513901468509612
SCP682-SC12-protein-residual	external_reconstruction	all	STAT5A_Y694	53	55231	0.18498984607903737	0.16938226821362867
SCP682-SC12-protein-residual	external_reconstruction	all	PLCG1_Y783	54	55231	0.20704375146563422	0.2286433638540889
SCP682-SC12-protein-residual	external_reconstruction	all	CTNND1_T310	55	32038	0.19066885881309606	0.1891791752078363
SCP682-SC12-protein-residual	external_reconstruction	all	PDPK1_S241	56	32038	0.08798242994198523	0.10193955660485077
SCP682-SC12-protein-residual	external_reconstruction	all	MAP2K4_S257	57	32038	-0.10103184644584902	-0.026153350710663516
SCP682-SC12-protein-residual	external_reconstruction	all	BTK_Y551	58	32038	0.07579739571301258	0.07266841561945186
SCP682-SC12-protein-residual	external_reconstruction	all	H2AFX_S139	59	32038	0.1457485032829291	0.11216748537132296
SCP682-SC12-protein-residual	external_reconstruction	all	NDRG1_T346	60	32038	0.08853037707256237	0.11401016866467878
SCP682-SC12-protein-residual	external_reconstruction	gse300551_iccite_plex_kinase_2025	RPS6_pSitePending	0	55231	0.3127026463502114	0.33498302016343856
SCP682-SC12-protein-residual	external_reconstruction	gse300551_iccite_plex_kinase_2025	STAT3_Y705	1	55231	0.21619296641033744	0.29916827001637447
SCP682-SC12-protein-residual	external_reconstruction	gse300551_iccite_plex_kinase_2025	MAPK14_pSitePending	2	55231	0.04372898529439969	0.12327039573637535
SCP682-SC12-protein-residual	external_reconstruction	gse300551_iccite_plex_kinase_2025	CREB1_S133_ATF1_S63	5	55231	0.3311818460325967	0.3675366942553753
SCP682-SC12-protein-residual	external_reconstruction	gse300551_iccite_plex_kinase_2025	JUN_pSitePending	8	55231	0.3890152574185752	0.4255050342498008
SCP682-SC12-protein-residual	external_reconstruction	gse300551_iccite_plex_kinase_2025	LAT_Y226	9	55231	0.305451290414625	0.32227156555496633
SCP682-SC12-protein-residual	external_reconstruction	gse300551_iccite_plex_kinase_2025	LCP2_S376	10	55231	0.4717873520936119	0.5053469150996228
SCP682-SC12-protein-residual	external_reconstruction	gse300551_iccite_plex_kinase_2025	MAP2K1_S298	11	55231	0.18264606826018318	0.24351976962377234
SCP682-SC12-protein-residual	external_reconstruction	gse300551_iccite_plex_kinase_2025	MAPK14_pSitePending_D3F9	12	55231	0.5478605134754656	0.5733149438016711
SCP682-SC12-protein-residual	external_reconstruction	gse300551_iccite_plex_kinase_2025	RELA_pSitePending_93H1	18	55231	0.46043489346199895	0.49622187579165733
SCP682-SC12-protein-residual	external_reconstruction	gse300551_iccite_plex_kinase_2025	p-Rb	37	55231	0.4132924756910102	0.3547310045619851
SCP682-SC12-protein-residual	external_reconstruction	gse300551_iccite_plex_kinase_2025	HISTONE_H3_S28	46	55231	0.24308498527089928	0.23204929547758707
SCP682-SC12-protein-residual	external_reconstruction	gse300551_iccite_plex_kinase_2025	NFE2L2_S40	47	55231	0.6585733446763098	0.6800223297557656
SCP682-SC12-protein-residual	external_reconstruction	gse300551_iccite_plex_kinase_2025	AKT_S473	48	55231	0.05486937157777926	0.04194511640604771
SCP682-SC12-protein-residual	external_reconstruction	gse300551_iccite_plex_kinase_2025	EIF4EBP1_T37_T46	49	55231	0.312424478046178	0.16087021703421098
SCP682-SC12-protein-residual	external_reconstruction	gse300551_iccite_plex_kinase_2025	STAT6_Y641	50	55231	0.40292168713318366	0.4065023340617696
SCP682-SC12-protein-residual	external_reconstruction	gse300551_iccite_plex_kinase_2025	ZAP70_Y493	51	55231	0.2376433661390325	0.2312869665044148
SCP682-SC12-protein-residual	external_reconstruction	gse300551_iccite_plex_kinase_2025	LCK_Y505	52	55231	0.09627979374845737	0.13513901468509612
SCP682-SC12-protein-residual	external_reconstruction	gse300551_iccite_plex_kinase_2025	STAT5A_Y694	53	55231	0.18498984607903737	0.16938226821362867
SCP682-SC12-protein-residual	external_reconstruction	gse300551_iccite_plex_kinase_2025	PLCG1_Y783	54	55231	0.20704375146563422	0.2286433638540889
SCP682-SC12-protein-residual	external_reconstruction	phospho_seq_blair_2025_phospho_multi	RPS6_pSitePending	0	1474	0.3756953407105263	0.3879228942712901
SCP682-SC12-protein-residual	external_reconstruction	signal_seq_gse256403_hela_2024	RPS6_pSitePending	0	1143		
SCP682-SC12-protein-residual	external_reconstruction	signal_seq_gse256403_hela_2024	MAPK14_pSitePending	2	1143		
SCP682-SC12-protein-residual	external_reconstruction	signal_seq_gse256403_hela_2024	AKT_pSitePending	3	1143	0.5520506775367721	0.5291433758544806
SCP682-SC12-protein-residual	external_reconstruction	signal_seq_gse256403_hela_2024	p-Rb	37	1143		
SCP682-SC12-protein-residual	external_reconstruction	signal_seq_gse256403_hela_2024	p-p65	45	1143		
